index,date,region,hotel,review_positive,tag1,tag2,tag3
0,2021-09-01,부산,시그니엘 부산,직원분들이 다들 친절하셨어요,친절 / 서비스,,
1,2022-01-01,부산,시그니엘 부산,"아침뷔페 및 바다가 보이는 수영장, 사우나 시설 모두 탑티어 입니다.  비용이 부담되기는 하는데 평일로 예약해서 다시 가고 싶네여 ~!!!","부대시설 (수영장, 사우나)","식사 (조식, 석식, 룸서비스)",
2,2021-12-01,부산,시그니엘 부산,위치 서비스 전부 만족해요,교통 / 접근성,친절 / 서비스,
3,2022-01-01,부산,시그니엘 부산,조식 만족스러웠습니다. 객실내 조명 불량으로 불이 꺼지지않는 상황에서 새벽에 문의를 했음에도 직원의 대응이 굉장히 좋았습니다.,"식사 (조식, 석식, 룸서비스)",친절 / 서비스,
4,2021-12-01,부산,시그니엘 부산,깔끔하고 서비스 다 너무좋았어요,청결,친절 / 서비스,
5,2022-01-01,부산,시그니엘 부산,"해운대해수욕장 바로 앞에 위치해있어 바로 나가 산책할 수 있을 정도로 가까웠습니다. 직원이 처음부터 끝까지 친절하게 안내하고 챙겨주셨습니다. 전망이 끝내줍니다. 베게가 기본적으로 두개가 제공되어, 자신에게 맞는 베게를 고를 수 있도록 해주셨습니다. 살롱드 시그니엘 라운지 무제한 이용 가능합니다. 사우나도 이용 했는데, 욕조 바로옆에 바다 전망이 있어서 황홀했습니다.","위치 (산, 해변, 볼거리와 가까움)",친절 / 서비스,
6,2021-12-01,부산,시그니엘 부산,크리스마스 기념으로 다녀왔는데 정말 시설도 시설이지만 직원분들의 세세한 배려와 친절함에 많이 감동하고 갑니다.,친절 / 서비스,,
7,2021-10-01,부산,시그니엘 부산,다 좋았어요 최고의 서비스,all,,
8,2021-12-01,부산,시그니엘 부산,직원들이 전체적으로 친절함. 필요한 것 요구사항 있으면 피드백이 빠름 . 뭔가 길게 기다린 적 없음. 오션뷰도 만족.,친절 / 서비스,"뷰 (불멍, 물멍, 일몰, 일출, 야경, 자연)",
9,2021-12-01,부산,시그니엘 부산,위치도 좋고 깔끔한데다가 직원들이 매우 친절했습니다 조식도 잘 나왔고요.  바다를 마주보는 침대의 위치도 인상적이었습니다,all,,
10,2021-12-01,부산,시그니엘 부산,"직원들이 모두 친절하게 해주셨고 짐을 옮겨주는 직원분이 있었는데 너무너무나도 친절하고 자세하게 알려주셔서 너무 고마웠어요. 이름을 알았더라면 더 좋았을텐데 못물어보고 후기를 남깁니다. 침실, 화장실, 식당, 라운지 전부 매우 만족이었고 가는 곳 마다 직원분들이 친절하게 해주셔서 또 꼭 다시 한번 가보고싶습니다.",친절 / 서비스,룸컨디션(가구 / 시설),
11,2021-11-01,부산,시그니엘 부산,아침도 맛있고 그냥 편안하고 너무 좋았습니다. 일상으로 돌아와서도 계속 생각이 날 정도로 좋은 시간을 보낼 수 있었습니다. 최고에요 시그니엘 부산~,"식사 (조식, 석식, 룸서비스)",all,
12,2021-12-01,부산,시그니엘 부산,모든 서비스와 시설 무엇하나 실망한게 없습니다!,all,,
13,2021-12-01,부산,시그니엘 부산,"서비스 , 서비스, 서비스, 서비스......,수영장, 침구&침대, 라운지 ♡",친절 / 서비스,"부대시설 (수영장, 사우나)",
14,2021-12-01,부산,시그니엘 부산,"너무너무 좋았어요  뷰, 친절, 쾌적함 어느것하나 빠짐없이 만족입니다. ㅎㅎ 태교여행으로 갔는데 잘 쉬다 왔습니다.",all,,
15,2021-11-01,부산,시그니엘 부산,너무 편안하게 잘 쉬다 왔습니다 특히 침대가 너무 편해서 꿀잠 잤어용,룸컨디션(가구 / 시설),,
16,2021-11-01,부산,시그니엘 부산,"모든 스탭 친절하고 웰컴티, 어메니티 충분하고 좋습니다! 충분한 힐링 보장되는 편안함과 해운대 뷰는 최고! 라운지 쿠키 정말 맛있습니다~!",친절 / 서비스,룸컨디션(가구 / 시설),"뷰 (불멍, 물멍, 일몰, 일출, 야경, 자연)"
17,2021-11-01,부산,시그니엘 부산,"모든 직원분들이 친절하게 응대해 주셨고, 수영장 뷰, 음식, 방뷰 모든게 좋았습니다. 그 중에 가장 좋았던건, 침대 ㅋㅋㅋㅋㅋㅋㅋ 아침에 일어나서, 이 배드 뭐지? ㅋㅋㅋ이대로 우리집으로 가지고 가고싶었습니다ㅋㅋㅋ 참고로, 거실에서 들리는 사람 소리나 옆방 소리 등, 소음관련 부분에서도 전혀 문제없었습니다. 어매니티, 캡슐커피, 수건, 슬리퍼 등 기본적인 것들도 잘 비치되어 있어 좋았습니다.",룸컨디션(가구 / 시설),친절 / 서비스,all
18,2021-11-01,부산,시그니엘 부산,친절하고 깨끗하고 너무 좋았습니다,친절 / 서비스,청결,
20,2021-11-01,부산,시그니엘 부산,친절하고,친절 / 서비스,,
21,2021-10-01,부산,시그니엘 부산,스탭들이 모두 정말 친절했고 무료 자켓 탈취 서비스도 유용했다. 조식 종류가 다양하고 베이커리류가 특히 맛있었다.,친절 / 서비스,"식사 (조식, 석식, 룸서비스)",
22,2021-10-01,부산,시그니엘 부산,업그레이드해주셨는데 너무 좋았습니다,친절 / 서비스,,
23,2021-10-01,부산,시그니엘 부산,객실 청결등 만족,청결,,
24,2021-10-01,부산,시그니엘 부산,만족. 직원의 친절함.,친절 / 서비스,,
25,2021-10-01,부산,시그니엘 부산,조식이 다소 비싼감은 있으나 충분히 값어치를 한다고 생각합니다. 가장 뷰가 좋은 자리를 안내해주시는 직원분들의 센스가 참 좋았습니다.,"식사 (조식, 석식, 룸서비스)",친절 / 서비스,
26,2021-09-01,부산,시그니엘 부산,여태 먹어본 조식중에서 최고였습니다. 근처에 살았으면 조식을 따로 먹으러 갔을것 같네요.,"식사 (조식, 석식, 룸서비스)",,
27,2021-10-01,부산,시그니엘 부산,직원들의 서비스가 너무 좋았고  미포항이라는 위치 그리구 생각보다 한산했던 수영장  그리고 쾌적함 깔끔함 청소상태 모두모두 좋았습니다 특히 배게를 선택할 수 있는 서비스가 신선했고  연휴인데도 쾌적하게 휴가를 즐길 수 있어서  좋았습니다,친절 / 서비스,교통 / 접근성,청결
28,2021-09-01,부산,시그니엘 부산,"직원분들의 전문성과 친절함이 가장 좋았습니다. 아이가 벌레에 물렸는데 연고, 냉찜질팩을 전달해주시고 지속적인 관심을 가져주셨습니다.",친절 / 서비스,,
29,2021-09-01,부산,시그니엘 부산,바다보이는수영장 와~^^^^^^^친절하게대해주셔서감사합니다!.녹차쿠키 너무맛나서 또가고 싶네요,"뷰 (불멍, 물멍, 일몰, 일출, 야경, 자연)",,
30,2021-09-01,부산,시그니엘 부산,해운대 바다가 한눈에 들어오는 아름다운 뷰를 감상합니다. 해운대 오른쪽편 달맞이길 바로 옆이라 산책하기 좋습니다. 침구가 매우 푹신하여 숙면을 취할수 있었습니다. 8층 인피니티 수영장에서 바라보는 해운대가 너무 멋있습니다. 훌륭합니다. (수영장뷰 대박),"뷰 (불멍, 물멍, 일몰, 일출, 야경, 자연)",룸컨디션(가구 / 시설),
31,2021-09-01,부산,시그니엘 부산,"조용하고 처음 객실까지 안내해주시는 분이 너무 친절하게 웃으면서 알려주셔서 너무 좋았어요 베게도 고를 수 있고, 라운지도 이용가능하고 편히쉬다가 왔습니다.",친절 / 서비스,,
32,2021-08-01,부산,시그니엘 부산,위치 좋음. 해운대 블루라인 해변열차 좋음.,교통 / 접근성,,
33,2021-08-01,부산,시그니엘 부산,"직원들의 응대가 너무 친절하고, 요청사항에 대한 처리도 너무 확실해서 호텔에 머무는 시간이 너무 편안했습니다. 객실창문이 오픈 가능한것도 좋았습니다. 인피니티풀도 인상적이었고 해운대가 가까운점, 그리고 미포항부터 송정항까지 운행하는 블루기차와의 거리가 가까운것도 참 좋았습니다.",친절 / 서비스,교통 / 접근성,
34,2021-07-01,부산,시그니엘 부산,위치나 서비스는 뛰어납니다.,교통 / 접근성,친절 / 서비스,
35,2021-08-01,부산,시그니엘 부산,너무나도 친절했고 요구사항을 최선을 다해 들어주려고 해주시는게 좋았어요~ 처음 도착했을 때 묻지않아도 이용하는데 불편함이 없도록 이것저것 자세하게 설명해주셔서 좋았어요~ 마지막으로 뷰가 넘 좋았어요~~,친절 / 서비스,"뷰 (불멍, 물멍, 일몰, 일출, 야경, 자연)",
36,2021-07-01,부산,시그니엘 부산,"여름이 오기 전 붐비지 않는 시기에 다녀왔습니다~ 시그니엘 서울과는 다른 부산만의 장점이 가득하네요 청사포쪽,비치쪽 모두 장점이 각각 있는 객실이며,  음식 또한 만족스러웠습니다~ 이번 가을에는 레지던스로 예약해보았는데 기대가 됩니다^^",all,,
37,2021-08-01,부산,시그니엘 부산,위치며 오션뷰며 너무좋습니다 직원들도 너무 친절하시고 방음도 잘 되고 너무 좋았습니다. 호텔서 꼼짝을 안해도 될 정도로 좋았네요.야외 수영장도 실내수영장도 온탕도 짱 입니다.,all,,
38,2021-07-01,부산,시그니엘 부산,직원분들의 친절도나 서비스는 다른 호텔에 비해 좋았습니다,친절 / 서비스,,
39,2021-07-01,부산,시그니엘 부산,해변 접근성 좋아요,"위치 (산, 해변, 볼거리와 가까움)",,
40,2021-07-01,부산,시그니엘 부산,객실분위기나 같이 숙박했던 손님들끼리의 성숙도도 있어보였고 확실히 주변 어느숙소보다도 격식있었습니다.,분위기 / 향,,
