,sentence,cleansed_target,cleansed_stopwords
0,직원분들이 다들 친절하셨어요,"['직원', '다', '친절', '어요']","['직원', '다', '친절', '어요']"
1,"아침뷔페 및 바다가 보이는 수영장, 사우나 시설 모두 탑티어 입니다.  비용이 부담되기는 하는데 평일로 예약해서 다시 가고 싶네여 ~!!!","['아침', '뷔페', '바다', '보이', '수영장', '사우나', '시설', '탑', '티어', '비용', '부담', '하', '는데', '평일', '예약', '아서', '가', '고', '네', '어']","['아침', '뷔페', '바다', '수영장', '사우나', '시설', '탑', '티어', '비용', '부담', '는데', '평일', '예약', '아서', '고', '네', '어']"
2,위치 서비스 전부 만족해요,"['위치', '서비스', '만족', '아요']","['위치', '서비스', '만족', '아요']"
3,조식 만족스러웠습니다. 객실내 조명 불량으로 불이 꺼지지않는 상황에서 새벽에 문의를 했음에도 직원의 대응이 굉장히 좋았습니다.,"['조식', '만족', '객실', '조명', '불량', '불', '꺼지', '지', '상황', '새벽', '문의', '하', '직원', '대응', '좋']","['조식', '만족', '객실', '조명', '불량', '불', '꺼지', '상황', '새벽', '문의', '직원', '대응']"
4,깔끔하고 서비스 다 너무좋았어요,"['고', '서비스', '좋', '어요']","['고', '서비스', '어요']"
5,"해운대해수욕장 바로 앞에 위치해있어 바로 나가 산책할 수 있을 정도로 가까웠습니다. 직원이 처음부터 끝까지 친절하게 안내하고 챙겨주셨습니다. 전망이 끝내줍니다. 베게가 기본적으로 두개가 제공되어, 자신에게 맞는 베게를 고를 수 있도록 해주셨습니다. 살롱드 시그니엘 라운지 무제한 이용 가능합니다. 사우나도 이용 했는데, 욕조 바로옆에 바다 전망이 있어서 황홀했습니다.","['해운대', '해수욕장', '앞', '위치', '아', '어', '산책', '있', '정도', '가깝', '직원', '처음', '끝', '친절', '게', '안내', '고', '챙겨주', '전망', '끝내주', '베', '게', '기본', '두개', '제공', '어', '자신', '맞', '베', '게', '고르', '있', '도록', '하', '아', '살롱', '드', '시', '엘', '라운지', '제한', '이용', '가능', '사우나', '이용', '하', '는데', '욕조', '옆', '바다', '전망', '있', '어서', '황홀']","['해운대', '해수욕장', '위치', '아', '어', '산책', '있', '가깝', '직원', '처음', '끝', '친절', '게', '안내', '고', '챙겨주', '전망', '끝내주', '베', '게', '기본', '두개', '제공', '어', '맞', '베', '게', '고르', '있', '도록', '아', '살롱', '드', '시', '엘', '라운지', '제한', '이용', '가능', '사우나', '이용', '는데', '욕조', '옆', '바다', '전망', '있', '어서', '황홀']"
6,크리스마스 기념으로 다녀왔는데 정말 시설도 시설이지만 직원분들의 세세한 배려와 친절함에 많이 감동하고 갑니다.,"['크리스마스', '기념', '다녀오', '는데', '시설', '시설', '지만', '직원', '배려', '친절', '감동', '고', '가']","['크리스마스', '기념', '다녀오', '는데', '시설', '시설', '지만', '직원', '배려', '친절', '감동', '고']"
7,다 좋았어요 최고의 서비스,"['좋', '어요', '최고', '서비스']","['어요', '최고', '서비스']"
8,직원들이 전체적으로 친절함. 필요한 것 요구사항 있으면 피드백이 빠름 . 뭔가 길게 기다린 적 없음. 오션뷰도 만족.,"['직원', '전체', '친절', '필요', '요구', '사항', '있', '으면', '피드백', '빠르', 'ㄴ가', '길', '게', '기다리', '없', '오션', '뷰', '만족']","['직원', '전체', '친절', '필요', '요구', '사항', '있', '으면', '피드백', '빠르', 'ㄴ가', '길', '게', '기다리', '오션', '뷰', '만족']"
9,위치도 좋고 깔끔한데다가 직원들이 매우 친절했습니다 조식도 잘 나왔고요.  바다를 마주보는 침대의 위치도 인상적이었습니다,"['위치', '좋', '고', 'ㄴ데다가', '직원', '친절', '조식', '나오', '바다', '마주보', '침대', '위치', '인상']","['위치', '고', 'ㄴ데다가', '직원', '친절', '조식', '바다', '마주보', '침대', '위치', '인상']"
