Date,Region,Hotel,room_type,Score,Title,review_positive,review_negative
2019년 3월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
","뷰가 기가 막힘, 위치도 짱",모텔 특유의 리셉션 냄새 시설이 아쉬웠음
2022년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
오션뷰는 정말 엄지척,,,
","오션뷰 하나는정말 엄지척
인정합니다,,
바로 광안리해수욕장앞이고
통유리창에 커튼 열면 보이는
광안대교의야경 ,,,
아침엔 일출도 볼수있을텐데
일요일아침 구름낀 날씨에 볼수없어
아쉬웠네요
오션뷰,,만 생각하면 완전좋아요
추천해요","조금 건물이 오래된점 ,,살짝아쉽습니다
외관은 건물전체가 리모델링한듯한데
숙소내부도 돈많이버셔서 리모델링 신경써주심진짜
최고의 안락함을 줄듯합니다
또한가지 아쉬움은
윗층 손님들 떠들고 의자끄는소리 화장실물소리 어느정도 층간소음은 이해하려고했으나 새벽시간까지  어머니모시고간 여행에 조금 시끄러워서 거슬렸지만 하룻밤이니걍 참고 잤네요
방음이 아쉬어요"
2022년 1월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
",바닷가위치 10초 거리짱 가성비,다른방은모르겠는데 이름은 호텔이지만 내부 시설은 모텔과 비슷했다는 점? 화장실 청소
2021년 12월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
",사장님께서 매우 친절,엄청 추운날이었는데 난방을 어떻게 하는지 모르겠으나 잘때 추웠어요
2021년 12월,부산,브릿지 호텔,"
스탠다드 더블룸
",6.0,"
만족
","광안리해수욕장 바로 앞
친절하신 주인분","바다가 보이는 방은 아니었고, 주차장은 기계식 주차장입니다.
주변에 아침을 먹을만한 곳이 마땅치가 않습니다."
2021년 12월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
매우 좋음
",바다뷰가 아주 잘 보였어요!,
2021년 12월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",7.0,"
좋음
",뷰맛집~^^ 밤 야경이 너무 예뻤어요,추워서 잘때 힘들었어요 따뜻한 차라도 마실 수 있도록 포트가 아쉽네요 드라이기도 너무 오래 되어서 머리 말리는데 한참 걸렸어요
2021년 10월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",8.0,"
매우 좋음
",뷰가좋은만큼  밖의 소음이 크게들려서 그점빼고 다 좋았습니다.,가격대비 뷰가 너~~~무 좋아요
2021년 10월,부산,브릿지 호텔,"
스탠다드 더블룸
",8.0,"
매우 좋음
","광안리해수욕장과 매우 가까워 위치적으로 대만족입니다.
가성비 또한 우수하였습니다. 다음 여행에 재방문 의향이 있습니다.",
2021년 2월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
","수압이 세서 넘 조았어요 ,,,",
2020년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
매우 좋음
",위치와 뷰가 최고. 이 가격에 광안대교가 바로 보이는 뷰가 있는 숙소는 찾기 힘들어요.,수압이 좀 약해요
2020년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
걱정보다 괜찮았던 아름다운 전망의 숙소
","몇 개의 후기를 검색해보고도 체크인 전까지 오션뷰에 대한 의심이 좀 있었습니다. 많이 측면은 아닐까, 창이 은근 작지는 않을까... 하지만 묵어보니 정말 전망이 좋은 숙소입니다. 또 화장실이 기대보다 매우 깨끗했습니다. 욕조가 있는 게 좋았구요. 전반적으로 만족해요",명시가 없었던 것 같은데 흡연실이었습니다...ㅠㅠ 방 냄새빼느라 시간을 좀 허비했네요. 솔직히 괜찮은 호텔이라고 할만큼 인테리어 디테일이 좋지 않습니다.
2020년 7월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
광안대교 야경을 볼 수 있는 저렴한 숙소
",뷰가 너무 좋습니다. 금요일예약이여서 그런지 가격도 뷰에 비하면 저렴하였구요. 통창이라 광안대교 야경을 보는데 거슬림 없이 좋았어요. 다음날 체크아웃 후 저녁시간까지 짐보관도 해주셔서 좋았습니다.,"아무래도 모텔의 명칭을 호텔로 바꾼 곳 이다보니 호텔만큼의 시설이나 어메니티는 없지만 나름 만족 하였습니다.
여름철이여서 그런지 모기가 좀 많았어요."
2020년 5월,부산,브릿지 호텔,"
스탠다드 더블룸
",6.0,"
만족
",위치,청결
2020년 3월,부산,브릿지 호텔,"
스탠다드 더블룸
",6.0,"
만족
",바로 앞이 광안리 바닷가여서 매우 만족했다,호텔  이불이 비위생적이었다. 좀더 밝은 색깔로 구비했으면 좋겠고 약간의 비릿한 냄새도 났다.
2020년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.3,"
매우 좋음
",구수한담배향이 좋았습니다,
2019년 12월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.0,"
좋음
",식사 불포함,방음이 전혀 안됨
2019년 11월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
",화장실이 지저분할까 걱정했는데 제가 묵은 방은 화장실을 최근에 새로 바꿨는지 깨끗해서 다행이었어요. 온수도 잘 나와요. 위치가 좋습니다.,방음이 잘 안되는 것 같아요. 엘레베이터 기계 소리가 크게 들렸어요. 딱 모텔 수준입니다.
2019년 9월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.3,"
매우 좋음
",위치가 좋아요 뷰가 끝내줍니다.,없어요
2019년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.5,"
좋음
",교통편이좋음.,가족이 저녁에나오기에는 외국인남자를 상대하는 술집이많아서 다니기불편했다
2019년 7월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.3,"
매우 좋음
","위치가 최고입니다. 해변 바로 앞입니다.
체크인도 일찍 할 수 있었어요.
근데 체크인을 1시간 일찍 해서 그런지 체크아웃도 1시간 일찍 했습니다.",
2019년 7월,부산,브릿지 호텔,"
디럭스 스위트룸
",5.8,"
보통
",바닷가앞이여서 편했어요,"욕조를 사용하려면 엄청닦아야돼요
구멍에서 찌꺼기나와요"
2019년 6월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.3,"
추천해요.
","호텔급은 아니지만 가성비 좋고 뷰가 너무너무 이뻤고, 위치고 좋아요.",바닥이 조금 지저분했어요.
2019년 5월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.5,"
괜찮아요.
",창문이 크고 광안대교 바닷가가 바로보여서 좋았어요.,모텔같은 호텔임
2019년 5월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.1,"
좋음
","직원도 친절하고 호텔 접근성도 좋아서 잘 보내다 왔어요. 
주차타워가 있어서 차량 고객도 편하게 접근 할 수 있었어요.",룸 내 화장실 위치가 좀 애매하고 욕조가 개인용 욕조였던게 조금 아쉬웠지만 대체적으로 나쁘진 않았어요
2019년 2월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.5,"
좋음
",즉시 예약이 가능한것,"소개된 홍보정보보다 오래되고 구렸음,"
2022년 2월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
",엄청 깨끗합니다! 위치가 좋고 뷰가 끝내줘요.,프론트에서 담배 피셔서 엘베 기다릴 때 냄새가 좀 났습니다.
2022년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",1.0,"
사진과 너무 다름
",뷰는 좋았습니다,내부시설이 너무 오래되었고... 사진과 정말많이 다릅니다.. 천정에 거미 시체랑 전등옆 거미줄등.. 청결 상태도 별로..  그냥 뷰만 봐야함..
2021년 11월,부산,브릿지 호텔,"
스탠다드 더블룸
",10,"
담에또 이용하고 싶어요~~^^
",뷰도좋고 편안했어요,없어요~~~
2021년 11월,부산,브릿지 호텔,"
스탠다드 더블룸
",4.0,"
실망스러움
",위치가 좋네요,청결에 좀 문제가 있네요
2021년 7월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
그럭저럭
",좋았던건 뷰하나였음,"열쇠키를 빼면 냉장고도 같이 전원이 나거 우리가 방에 체크인했을때 물도 미지근
에어컨 기능도 별로였다"
2021년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",3.0,"
위치가 좋은 아쉬운 공간
",위치면에서 바다가 바로앞이라 산책하기 좋습니다.,처음 예약을하때 첫날은 오션뷰로 예약했었는데 당일날 안된다는 연락을 받았으며 어쩔 수 없이 일반객실에서 지냈습니다. 객실은 무난했고 뷰는 없었으며.
2021년 6월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",3.0,"
나쁨
","웰컴 드링크는 이미 누군가 개봉하였고, 모기가 엄청 많았습니다. 화장실 위생 상태는 그럭저럭 이었습니다.","웰컴 드링크는 이미 누군가 개봉하였고, 모기가 엄청 많았습니다. 화장실 위생 상태는 그럭저럭 이었습니다."
2021년 5월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
장점 하나가 엄청 크고, 자잘한 단점이 엄청 많음
","오션뷰는 진짜 좋아요. 다 필요없고 오션뷰가 제일 중요하다 그러면 걍 단점 감수할만 할 정도로 전망은 좋음. 대신 높은 층으로 잡아야 함. 
블루투스 스피커 짱짱한 거 있어서 음악 틀어놓기 좋아요.","오래된 장,,, 여관?모텔? 그런 냄새가 심하게 남. 환기가 잘 안 돼서 그 냄새가 안 빠지고 계속 고여있음.
전체적인 청결상태는 좋은데 시설이 워낙 구식이라 쾌적하진 않은 느낌
이불 퀄이 너무 별로예요 할머니집에서 덮는 오래된 이불 같음."
2021년 4월,부산,브릿지 호텔,"
스탠다드 더블룸
",3.0,"
위치는 좋아요
",광안리 바닷가와 가까운 점이 좋았어요,객실에 담배 냄새가 너무 나요 그리고 이불에서도 냄새가 많이나네요
2021년 2월,부산,브릿지 호텔,"
스탠다드 더블룸
",2.0,"
매우 나쁨
",해변 바로 앞이란 것만 좋았던것 같다,"차라리 그냥 모텔이라 했음 기대를 안했을것을
호텔이라 해서 그래도 보통을 될줄 알았는데
그냥 요즘이 아닌 옛날 모텔수준 이었다"
2021년 2월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
바다뷰 원하지만 호텔 갈 돈은 없는 분에게 추천드리는... 호텔로 이름을 바꾼 모텔.
","507호에 묵었는데, 뷰가 너무 좋습니다. 광안대교가 잘 보여서 만족스러웠어요! 커튼 살짝 열고 잤더니 아침에 햇살 쫙 들어와서 저절로 잠 깨서 일출 구경했네요ㅎㅎㅎ 사장님도 친절하셨습니다.","모텔이고, 쾌쾌한 냄새도 좀 납니다. 인테리어도 옛날식이라 숙소 안에서 셀카는 놉... 1층에 작은 커피기계? 하나 있는 것을 구내 커피숍이라고 표현하는 건 잘못된 것 같습니다.
종합적으로 시설에 비해 가격이ㅠㅠ 비싼 건 사실입니다ㅠㅠ"
2021년 2월,부산,브릿지 호텔,"
스탠다드 더블룸
",10,"
자주 이용하는 숙소
","접근성이 좋아요
바로앞 바다고 밤에 파도소리 들으며 잘수있어요
화장실 깔끔합니다",
2020년 11월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
",위치가 정말 끝내줍니다,저녁에 보일러가 약해서 올려달라 부탁했지만 그래도 좀 추웠습니다
2020년 9월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
","전망이 너무 좋았음
이 가격에 이런 뷰 볼 수 있는곳 흔치 않음
사장님도 친절하심","이름은 호텔이지만 전형적인 모텔임
화장실은 리모델링 되었는지 욕조는 없고 샤워기가 있었음"
2020년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
그럭저럭
",광안대교가 바로 앞에있어 야경이좋았어요,그냥 모텔 시설에비해 가격이 너무비싸요
2020년 8월,부산,브릿지 호텔,"
스탠다드 더블룸
",5.0,"
그럭저럭
","바다랑 가까운 점이 매우 좋았어요
교통편 접근성도 좋았습니다","침대가 좀 딱딱한편이라 그게 좀 불편했어요
딱딱한 침대 좋아하시는분들은 괜찮을것 같네요"
2020년 8월,부산,브릿지 호텔,"
스탠다드 더블룸
",5.0,"
그럭저럭
",광안리 해변 도로앞이라 위치는 좋았지만 룸 내부는 청결하지 않아서 아쉬웠어요.,광안리 해변 도로앞이라 위치는 좋았지만 룸 내부는 청결하지 않아서 아쉬웠어요.
2020년 6월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
그럭저럭
",예약 전달안됨,예약 전달안됨
2020년 7월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
다음에 가도 여길 선택하고 싶어요~
",뷰가 너무 굳~,솔직히 없어요 ~
2020년 6월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",10,"
강력 추천
","모텔이 호텔로 바뀐거 같은데 이걸 몰랐으면 실망할 것 같고, 후기보고 미리 알고가니 만족스러운 편이었습니다. 가격대비 넓은 방에 오션뷰도 괜찮고, 뭣보다 위치가 너무 좋았습니다. 욕실 사진이 조금 부실해서 걱정이었는데 생각보다 넓었고 욕조가 또 예상외로 엄청 맘에 들었습니다.",사진으로 봐서 알고는 있었지만 소파 디자인이나 조명 때문에 분위기가 묘...한게 조금 어쉬웠네요.
2020년 6월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
뷰가 좋은 가성비 숙소!
","무엇보다 뷰가 너무 좋았고 가성비 최고였어요~
근처에 편의점도 많고 바로 앞에 바다가 있어서 놀기에도 좋았어요",모기가 많아서 불편했어요.
2020년 5월,부산,브릿지 호텔,"
스탠다드 더블룸
",1.0,"
방 확인 하세요
",위치는 가까웠어 좋았습니다,사진과 실질적인 방이 달랐습니다
2020년 5월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
광안대교가 한눈에 보여요
",위치가 종말 좋고 뷰가 끝내줍니다.,어매니티
2020년 2월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",4.6,"
이름만 호텔인 숙소
","야경이 이쁘다
아침에 해돋이를 볼 수 잇어서 좋음","이름만 호텔이고 실제 시설은 모텔
방음 안됌
일회용 슬리퍼가 아니라 찝찝해서 사용하지 못함"
2020년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
","광안대교가 정면으로 보이는 최고의 뷰
그리고 가성비~ 청소도 깨끗하게 해주시고 방이랑 침대 크기도 적당하고 진짜 괜찮은 숙소입니다. 
무엇보다 광안대교 아래로 붉은 해가 떠오르는 모습을 침대에 누워서 볼 수 있다는게 정말 최고였습니다.",커피포트가 있어서 따듯한 물을 마실 수 있으면 더 좋을 것 같아요.
2020년 1월,부산,브릿지 호텔,"
로열 스위트룸 - 바다 전망
",4.0,"
호텔? 노 노
",그나마 위치하나만 좋았음 광안대교 야경이 있다는거,"호텔이나기 보다는 사진과는 전혀다른 실상 아주 오래된 모텔임 벽지조차 색이바랜 시설에 속았다는 느낌에 매우 기분이 안좋았습니다
모든용품 일회용이 아닌 비 위생적인 비누샴푸 그냥 3류모텔임
조망이 좋다고는 하지만 가격이 시설에 비해 터무니 없이 비쌈"
2019년 12월,부산,브릿지 호텔,"
스탠다드 더블룸
",4.0,"
실망스러움
",말이호텔이지가격에비해 여관수준임!!,말이호텔이지가격에비해 여관수준임!!
2019년 12월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",10,"
뷰최고!!!
","너무 깨끗하고 넓고 무엇보다 뷰가 너무 좋았네요~
직원분들 다 친절하시구요~
잘때 , 자다깨서, 일어나서 뷰 때문에 기분이 계속 좋았어요 ㅎㅎㅎ",
2019년 12월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.8,"
브릿지호텔 더블룸 바다전망
",뷰 정말좋음. 시설 생각보다  깨끗함,"더블룸 바다전망기준. 가격조금 아쉬움.
침대에서 tv볼때 사선으로봄"
2019년 11월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.6,"
광안리 해수욕장 숙소에서 즐기기!
",뷰가 정말 좋아요 웬만한 호텔보다 좋구요 바다뷰보면서 야식 시켜먹음ㅋㅋㅋ 진짜 뷰가 넘조아용!! 선택하셔도 후회 안하실듯. 저는 재방문의사 있어요,기대했던것보다 좋아서 깜짝놀랐네요
2019년 11월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.2,"
최고
","바다전망 숙소로 잡았는데
채광좋고 광안리 잘보이고 좋더라구요
광안리 회센타도 멀지않고, 편의점 등 엄청많고,
창문도 작은거 말구 그냥 한 면이 통유리로된 창문입니다.
진짜 좋아요 추워서 숙소서 테이블에 앉아 바다보며 여유부리기도 하고 좋았네요","창문이 엄청큽니다만 통유리라 
환기를 원하는 사람이 묶는다면 아쉬워할 수 있겠네요"
2019년 10월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",3.8,"
나쁨
",경치만 보실려면 예약하세요,소파 침대 등 30년 된 거 같아요 냄새도 나고 거울이 왜 검정색 인지 이해가 안가네요 얼굴을 볼 수가 없어요..36만원 내고 2 틀 자기에는 가격도 비싸네요
2019년 6월,부산,브릿지 호텔,"
로열 스위트룸 - 바다 전망
",10,"
기회 되면 또 한번 투숙하고 싶어요~!!
","광안리 해변과 광안대교의 뷰가 정말 좋았고, 같은 건물에 카페도 같이 있어 멀리 가지 않고 커피를 즐길 수 있어서 좋았습니다.","주차장이 기계식이라 필요시 그때 그때 차량 입출고를 시켜야 하는 점이 약간 번거로웠으나, 그마져도 관리요원이 24시간 상주하며 처리해 주셔서 극악으로 불편하지는 않았습니다."
2020년 8월,부산,브릿지 호텔,,6.0,"
후기
",.,.
2020년 8월,부산,브릿지 호텔,,8.0,"
매우 좋음
","오션뷰가 다했습니다. 
연박시 알아서 청소해주셔서 좋았어요. 
샤워시설의 수압이 약해서 안타까웠어요. 
그외 모두 만족👍",샤워시설 수압
2020년 7월,부산,브릿지 호텔,,8.0,"
광안리 뷰가 짱!
","생각보다 넓고 뷰가 너무 좋았어요:)
후기들 봤을때 담배냄새 날까봐 걱정했는데 다행히 담배냄새도 하나도 안 났어요!","ㅜㅠ날벌레가 너무 많았어요..
모기들도 몇마리를 잡았는지 모르겠어요.."
2020년 6월,부산,브릿지 호텔,,7.0,"
좋음
",위치는 최고입니다. 지하철역에서 가장 가까운 비치에 있으니까요.,"프런트 대화가 거의 절벽이더군요.
밤 늦은 시각이라 그랬겠죠?"
2019년 12월,부산,브릿지 호텔,,7.5,"
좋음
",문나가면 광안리 해수욕장. 경치도좋고 직원분들도나쁘지읺음,와이파이가 안되서 고쳐달랫는데 연락도없고 흔히말하는 읽씹하심.. 주차장이 리프트식이라 예민한사람들은 시끄러워서 잘못잠. 차 관리하는데 창문열어놔서 나는 내물건에 민간해서 싫었음
2019년 11월,부산,브릿지 호텔,,7.0,"
좋음
",아늑함 자리가좋다,"더 큰 방을 잡고싶음  ,  컴퓨터에 실망"
2019년 6월,부산,브릿지 호텔,,6.2,"
만족
",오션뷰를 예약해서 전망은 좋았음,호텔이 아닌 평범한 모텔입니다.
2019년 5월,부산,브릿지 호텔,,8.3,"
매우 좋음
","12만원에 광안리 해변이 한눈에 보이는 오션뷰 객실이라는 점이 가장 좋았고, 광안리 메인이라고 불리는 회센터나 술집거리까지 바다를 보면서 걸어가면 금방 갈 수 있어서 너무 좋았다. 새벽에 숙소에서 밤바다를 바라보며 마셨던 맥주가 한참동안 생각날 것 같다.",
2019년 3월,부산,브릿지 호텔,,7.1,"
좋음
",뷰는 정말 좋습니다,"충전기 케이블이 설치 되어 있긴한데 충전은 안되고 빈 콘센트는 없고 컴퓨터는 켜지지도 않았습니다.
그 외엔 뭐 흔한 호텔의 이름을 단 모텔이었습니다.
뷰만 보고 가기엔 다소 비싼 감이 있네요."
2020년 8월,부산,브릿지 호텔,,3.0,"
나쁨
",위치랑 뷰 좋고 사람들이 친절했음,"가운에 라이터 불자국,청결하지는않음(머리카락).호텔보다는 모텔느낌"
2020년 8월,부산,브릿지 호텔,,2.0,"
매우 나쁨
",위치,"청소상태, 냄새, 사진과 너무다른방"
2020년 8월,부산,브릿지 호텔,,1.0,"
형편없음
",기계식 주차장이라 불편합니다.,기계식 주차장이라 불편합니다.
2020년 7월,부산,브릿지 호텔,,5.0,3인이상은 불편할 객실,3인이였는데 침대는 퀸사이즈여서 불편하게 잤구요 .. 그렇다고 객실이 큰편도 아니여서 객실바닥에 이불깔 자리가 너무 협소했습니다 도로가에 위치해있어서 소음 잘 들리는 편이였는데 잠자는데 지장은 없었습니다 화장실은 깨끗한편이고 샴푸 린스 바디워시까지 다 있어요 1박묵기에 적당했습니다  밤에 숙소에서 보이는 야경이 다했달까,3인이였는데 침대는 퀸사이즈여서 불편하게 잤구요 .. 그렇다고 객실이 큰편도 아니여서 객실바닥에 이불깔 자리가 너무 협소했습니다 도로가에 위치해있어서 소음 잘 들리는 편이였는데 잠자는데 지장은 없었습니다 화장실은 깨끗한편이고 샴푸 린스 바디워시까지 다 있어요 1박묵기에 적당했습니다  밤에 숙소에서 보이는 야경이 다했달까
2020년 1월,부산,브릿지 호텔,,9.2,"
가성비 굳
",우선 저렴한 가격에 광안대교가 보이는 숙소라는 점이 최고 장점인거 같습니다. 다른 후기대로 시설은 조금 낡은 감이 있지만 청결하게 유지되어서 불편한 점은 전혀 없었고 오히려 기대보다 좋아서 친구랑 만족스러웠습니다. 일출과 일몰 모두 잘 보이고 그냥 경치가 정말 좋아요...,-
2019년 11월,부산,브릿지 호텔,,5.0,"
그럭저럭
","역시 뷰가 좋다.
뷰 말고는 딱히 생각나는건 없음.
그냥 흔한 모텔급 숙소였다.","인터넷 점검은 해주세요. 인터넷 및 공유기가 작동 안함.
그 외엔 큰 문제는 없었던 것 같아요."
2019년 3월,부산,브릿지 호텔,,10,"
강력 추천
",방에서 보는 광안대교쪽 야경이 정말 좋았습니다.,
2021년 12월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
매우 좋음
",작성한 내용이 없습니다,
2021년 12월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
",작성한 내용이 없습니다,
2021년 7월,부산,브릿지 호텔,"
스탠다드 더블룸
",6.0,"
만족
",작성한 내용이 없습니다,
2021년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",8.0,"
매우 좋음
",작성한 내용이 없습니다,
2021년 4월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",8.0,"
매우 좋음
",작성한 내용이 없습니다,
2021년 5월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.0,"
좋음
",작성한 내용이 없습니다,
2021년 3월,부산,브릿지 호텔,"
스탠다드 더블룸
",8.0,"
매우 좋음
",작성한 내용이 없습니다,
2021년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.0,"
좋음
",작성한 내용이 없습니다,
2020년 8월,부산,브릿지 호텔,"
스탠다드 더블룸
",8.0,"
매우 좋음
",작성한 내용이 없습니다,
2019년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",7.5,"
좋음
",작성한 내용이 없습니다,
2019년 8월,부산,브릿지 호텔,"
로열 스위트룸 - 바다 전망
",6.7,"
만족
",작성한 내용이 없습니다,
2019년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",7.5,"
좋음
",작성한 내용이 없습니다,
2019년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",6.2,"
만족
",작성한 내용이 없습니다,
2019년 2월,부산,브릿지 호텔,"
디럭스 스위트룸
",6.7,"
만족
",작성한 내용이 없습니다,
2021년 12월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
",작성한 내용이 없습니다,
2021년 12월,부산,브릿지 호텔,"
스위트룸 - 바다 전망 
",5.0,"
그럭저럭
",작성한 내용이 없습니다,
2021년 8월,부산,브릿지 호텔,"
스탠다드 더블룸
",5.0,"
그럭저럭
",작성한 내용이 없습니다,
2021년 3월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
",작성한 내용이 없습니다,
2020년 11월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",1.0,"
형편없음
",작성한 내용이 없습니다,
2020년 9월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
",작성한 내용이 없습니다,
2020년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
",작성한 내용이 없습니다,
2020년 8월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",5.0,"
그럭저럭
",작성한 내용이 없습니다,
2020년 7월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
",작성한 내용이 없습니다,
2020년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",5.0,"
그럭저럭
",작성한 내용이 없습니다,
2020년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
",작성한 내용이 없습니다,
2020년 1월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.0,"
최고
",작성한 내용이 없습니다,
2019년 10월,부산,브릿지 호텔,"
스탠다드 더블룸
",3.8,"
나쁨
",작성한 내용이 없습니다,
2019년 10월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",10,"
강력 추천
",작성한 내용이 없습니다,
2019년 8월,부산,브릿지 호텔,"
스탠다드 더블룸
",2.5,"
매우 나쁨
",작성한 내용이 없습니다,
2019년 6월,부산,브릿지 호텔,"
스탠다드 더블룸
",4.2,"
실망스러움
",작성한 내용이 없습니다,
2019년 2월,부산,브릿지 호텔,"
더블룸 - 바다 전망
",9.6,"
강력 추천
",작성한 내용이 없습니다,
2020년 8월,부산,브릿지 호텔,,8.0,"
매우 좋음
",작성한 내용이 없습니다,
2019년 10월,부산,브릿지 호텔,,7.5,"
좋음
",작성한 내용이 없습니다,
2020년 8월,부산,브릿지 호텔,,4.0,"
실망스러움
",작성한 내용이 없습니다,
,부산,브릿지 호텔,,,,,
2021년 9월,부산,오션 더 포인트 호텔,"
스탠다드 더블룸
",10,"
강력 추천
","가성비, 로케이션 끝판 대장! 두말필요없다",
