,region,hotel_name,date,review
1,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 12월,비교적 좋은 가격에 좋은 숙소
2,강원도,인터컨티넨탈 알펜시아 평창 리조트,2022년 2월,알펜시아 리조트내에 위치하여 교통은 좋습니다. 일반 스탠더드룸임에도 매우 널찍하여 편안하게 지낼 수 있어 좋았습니다. 침구류 및 어메니티가 잘 갖추어져 있어 특급호텔로써의 수준을 유지하고 있습니다.
5,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 12월,주위에 먹을게 많아서 비싼 조식은 안먹을수 있어서 좋았어요
6,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 11월,아침식사는 모자람이 없었어요.
7,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 10월,조식부페 때문에 인터컨티넨탈을 선택했는데 역시 만족스럽습니다.
9,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 10월,조식맛있고 방도 청결했어요. 단 위치가 산밑이라 비가오니 할게 전혀 없었어요ㅜㅜ
10,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 9월,훌륭한 아침식사. 특히 빵 종류가 맛 있음. 친절한 직원들과 좋은 주변 환경.
11,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 9월,글로벌체인답게 관리가 잘 된것 같습니다 요청 사항들도 사전에 준비가 잘 되어있었습니다
13,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 6월,맑은 공기와 조용한 환경이 좋습니다.
15,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 8월,"잘 가꾸어진 정원을 보는 것만으로도 좋았습니다. 햇빛 쨍쨍한 날 정원을 거닐어도, 나뭇가지가 늘어져 생기는 그늘에 들어가면 시원했습니다."
17,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 7월,환경 좋고 깨끗 시원했어요 킹침대 좋았고 조용했어용
19,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 7월,산책로와 주변 부대시설이 있어서 편리했고 야외에서 쉴수있는 공간이 많아서 좋았어요 조식도 좋은편입니다.
23,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 7월,깨끗하고 좋습니다. 다만 실내에 비치되어 있는 컵은 신라스테이처럼 종이컵으로 대체하면 어떨까 싶습니다.
24,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 7월,침구가 너무 폭신해서 잠을 잘 잤어요~~ 요청드린 추가사항도 잘 들어주셔서 아이와함께 즐거운 여행 했어요~
27,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 6월,조식도 맛있었고 테라스도 너무 좋았습니다~아침에 조식먹고 산책할수 있는 공원이 있어서 좋았습니다~다음에 또 이용할 생각있습니다~
28,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 6월,침구가 역시좋았고 뷰가 너무 좋습니다 그리고 서울에있는 호텔들보다 역시! 사이즈가 크게빠져서 답답하단 느낌이 안들어요!
29,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 6월,미니바 외는 다 좋았어요. 침대 매트리스도 좋았고 청결했으며 특히 평창의 공기가 너무 상쾌했어요~ 호수 뷰 룸 투숙했는데 뷰도 매우 만족스러웠어요.
30,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 6월,침구. 청소상태가 좋았습니다.  호수가 있어서 아침산책하기 좋았습니다. 조식옵션이 있어서 편하고 맛있었습니다.
31,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 5월,발코니에서 보이는뷰는 좋앗어요
33,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 5월,침구가 너무 좋아서 잠이 잘왔습니다. 청결하고 욕조도 넓어서 좋습니다. 조식은 그럭저럭 깔끔하고 좋았습니다. 간이 짜지않아 좋아요. 산책할 곳이 많아요.
35,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 4월,"지상 및 지하주차장 여유 있고, 이틀 동안 이용했던 조식메뉴도 동일하지 않고, 다양하게 변화를 주어서 좋았고, 침구도 아주 편안해서 대부분 만족했습니다."
36,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 4월,"안반데기 방문을 위해 투숙하였는데, 위치적 장점 말고도 리조트 내 편의시설이 너무 다양해서  체크인부터 체크아웃까지 충분히 즐길 수 있었습니다."
38,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 3월,빵 맛집이에요 ㅎㅎ 연어도 여러종류 있어서 좋았아요
39,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 3월,청결하고 친절하여 머물고 싶은 곳입니다.
41,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 2월,호텔의 위치가 좋고 호텔내 좋은향기가 납니다.
42,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 2월,숙소자체의 시설과 스키장이 좋았어요
44,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 2월,편하게 잘 쉬다가 왔습니다. 또 이용하고 싶네요.
45,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 1월,조식의 식단구성과 맛이 있었음
46,강원도,인터컨티넨탈 알펜시아 평창 리조트,2021년 1월,아침은 어느 호텔 보다 풍성했습니다.
49,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 11월,"밖에 돌아다니기 어려우니 방 안에서 주로 시간 보냈습니다. 알펜시아 단지에 편의점, 식당가가 있어서 편했습니다."
51,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 10월,"공기도 맑고, 좋은 곳에서 잘 쉬었다 왔습니다.  이 리조트 내에서만 지내도 불편하지 않겠어요. 호텔 바로 길 건너편에 편의점, 식당 등이 있습니다."
52,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 10월,아주 편안한 킹사이즈 침대... 불면증이 뭐예요? 최고의 휴식이었습니다. 조용합니다.
53,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 10월,특급인만큼 시설이 좋고 물도 음청 시원하게 나왔습니다. 방이 커서 휴식과 업무를같이할 수 있어 좋았습니다. 호텔앞 산책로가 좋았습니다.
55,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 10월,"위치, 시설, 분위기, 리조트 자체가 좋았음."
56,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 9월,전체적으로 오래된 느낌은 있지만 청결하고 깨끗하게 유지하고 있어서 방 컨디션은 좋았네요. 오랜만에 호캉스 잘 즐기다 왔습니다. ^^
57,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 10월,"룸 컨디션이. 좋았고, 룸이 예상보다 넓어서 좋았어요. 아침에 창문을 열었을때 보이는 마운틴 뷰 또한 넘 이뽀요~"
58,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 9월,"1. 침구류가 정말 푹신하고 방, 화장실이 청결했어요. 2. 리조트 근처 산책시설이 정말 좋았어요."
59,강원도,인터컨티넨탈 알펜시아 평창 리조트,2020년 9월,직원 친절 말고는 전반적으로 만족스러운 호텔임
