,region,hotel_name,date,review
0,부산,웨스틴 조선 부산,2019년 9월,없어요 뷰며 식사며.숙박시설이며 바다접근성 빠지는게 없었어요. 특히 뷔페식당 한식코너 나물 두가지는 인상적이었어요. 타향살이에 힘듬이 한번에 위로가 되었어요. 내년에 꼭다시 오고싶네요.
3,부산,웨스틴 조선 부산,2022년 2월,조식이 기대보다 매우 훌륭하였습니다. 뷰가 좋았습니다.
4,부산,웨스틴 조선 부산,2022년 2월,뷰와 위치가 일품. 타호텔에 비해 객실이 넓은점.
7,부산,웨스틴 조선 부산,2022년 1월,식사할때 항상 바다가 보여서 좋았어요
10,부산,웨스틴 조선 부산,2022년 1월,바다가 바로보이는 전망이라 환기창문을 열면 파도소리가 너무 잘들려서 좋았습니다. 객실도 생각보다 넓어서 좋앗습니다.
11,부산,웨스틴 조선 부산,2022년 1월,프런트직원분 친절하시고 호텔 전망도 좋았고 편안하게 잘 쉬다 왔습니다.
12,부산,웨스틴 조선 부산,2022년 1월,너무 친절하고 뷰가 예술입니다.  실내 수영장과 온천같은 목욕탕이 호캉스를 즐기기에 최적화된 호텔입니다~
14,부산,웨스틴 조선 부산,2021년 10월,"위치가 정말 좋고, 직원분들이 참 친절하셨어요."
15,부산,웨스틴 조선 부산,2022년 1월,해운대 바닷가랑 가까웠습니다. 직원도 친절하였습니다. 침구랑 샤워가운 편했습니다
17,부산,웨스틴 조선 부산,2021년 12월,한국 제일의 해수욕장을 파노라마처럼 관람할 수 있는 환상적인 호텔입니다. TV를 켤 시간이 없었습니다. 지금까지 다녀 본 호텔중에 최고인듯....
18,부산,웨스틴 조선 부산,2021년 11월,공원뷰 예약했는데 뷰가 좋았습니다.
22,부산,웨스틴 조선 부산,2021년 11월,방 공원쪽 이지만 야경이 좋았다
24,부산,웨스틴 조선 부산,2021년 11월,"아침식사와 위치는 당연 좋죠.. 그래서 가끔 홍캉스 이용해요.. 식사인원도 많고 그런데, 직원분들 분주하게 빠르게 채워주시고, 친절도 하고,, 역시 조선비치구나 했어요.. 다음에도 또 이용할거예요~ 최고입니다."
25,부산,웨스틴 조선 부산,2021년 11월,뷰는 부산에서 최고 다른건몰라도 뷰만 보면 부산역대급 다음에 오더라도 뷰 때문에 여기 묶을 듯 아무리 올드한 느낌은 지울수없지만 역시 최고
