,region,hotel_name,date,review
3,여수,베니키아 호텔 여수,2022년 2월,아침식사는 매우 만족했습니다
4,여수,베니키아 호텔 여수,2022년 1월,호텔이 작은 건물 하나지만 깨끗햇습니다
5,여수,베니키아 호텔 여수,2022년 1월,"친절하고, 객실정비도 잘되어 너무 좋았습니다. 오션뷰도 저렴히 이용할수있어 만족스러웠습니다."
6,여수,베니키아 호텔 여수,2022년 1월,방이 넓고 쾌적해서 좋고 청결한게 좋았어요. 특히 조식이 잘 나와서 너무 좋았어요
7,여수,베니키아 호텔 여수,2022년 1월,"호텔 직원들이 아주 친절했고, 조식도 맛있었습니다. 마치 일본의 비지니스호텔 온 느낌^^"
9,여수,베니키아 호텔 여수,2022년 1월,전망이좋고 객실이넓어좋고 친절해서 좋음
11,여수,베니키아 호텔 여수,2022년 1월,"주변에 먹거리, 볼거리, 산책로가 좋아서 몇 일 머물렀으면 하는 아쉬움이 있었네요."
12,여수,베니키아 호텔 여수,2022년 1월,편안한 침대와 따뜻한 온돌이 넘 맘에 들었어요
14,여수,베니키아 호텔 여수,2022년 1월,"바다가 보이는 뷰가 좋았고, 객실과 욕실이 넓습니다. 주변에 식당들이 많은편입니다. 주차 주의사항에 대해 미리 안내받음"
15,여수,베니키아 호텔 여수,2022년 1월,"조용하며 바다뷰가 보이는 전망, 일출 명소가 근처에 있어 1/1일에 일출보기 좋았음."
16,여수,베니키아 호텔 여수,2021년 12월,넓고 전망도 좋았다.  가족여행으로 가기 좋은 방이었음
17,여수,베니키아 호텔 여수,2021년 12월,바다뷰 좋았고 직원분들 친절했고 위치가 좋았음
18,여수,베니키아 호텔 여수,2021년 12월,"따뜻하고 깨끗한 룸상태가 좋았고, 아침식사는 매우 만족스러웠습니다."
19,여수,베니키아 호텔 여수,2021년 12월,"위치도 좋았고, 바다 뷰가 좋았어요 ㅎㅎㅎ  근처 편의점이 있다는 것도 좋았어요! 그리고 방이 넓었어요"
20,여수,베니키아 호텔 여수,2021년 12월,조식은 맛있게 먹었고 직원들도 친절했습니다.
21,여수,베니키아 호텔 여수,2021년 12월,숙소 가성비와 청결도 그리고 친절함이좋아요~~ 바다가 잘보이는 뷰까지!!!
22,여수,베니키아 호텔 여수,2021년 12월,청결하고 룸크기도 크고 편리했음
23,여수,베니키아 호텔 여수,2021년 12월,여수 여러번여행갔었는데요 아쿠아리움쪽 리조트 다이용해보왔쓰나 잠만 자기때문에 가격대비가성비짱인것같아요 ~~
24,여수,베니키아 호텔 여수,2021년 11월,대중교통 이용하기에 위치가 너무 좋고 깔끔하니 매우 만족했습니다.
25,여수,베니키아 호텔 여수,2021년 12월,"깨끗한 숙소, 친절한 직원분들 좋았어요"
26,여수,베니키아 호텔 여수,2021년 10월,뷰 맛집이네요 조식도 맛있고요
27,여수,베니키아 호텔 여수,2021년 12월,가격대비 아침식사 퀄리티가 훌륭했습니다! 보통 일반호텔에서 볼 수 있는 기본 서양식 아침식사 외에도 한식의 퀄리티가 소박하면서도 너무 맛있어서 깜짝 놀랐습니다~ 서울에서 같이 온 가족들도 맛있다고 좋아하더라구요.
29,여수,베니키아 호텔 여수,2021년 11월,조식도 다양하게 나와서 든든하게 잘 먹었습니다. 4인이 함께 사용하였는데 넓고 좋았습니다.
30,여수,베니키아 호텔 여수,2021년 11월,깔끔하고 맛잇는 아침식사 메뉴는 조촐했지만 가족들 전체가 칭찬했다 정말 먹을만한것들만 정성껏 준비되엇다는느낌 가성비 최고의 베니키아 입니다  한이틀 더묵엇으면 하는~~
31,여수,베니키아 호텔 여수,2021년 11월,위치가 조용해서 선택잘했네요! 가성비괞찮았고 조식 추천합니다 숙소도 깨끗하고 바다전망도 좋았어요
34,여수,베니키아 호텔 여수,2021년 11월,조식제공은 마음에 들었습니다.
35,여수,베니키아 호텔 여수,2021년 11월,아침식사도 기대이상이었어요 가성비 짱입니다
36,여수,베니키아 호텔 여수,2021년 8월,노후된시설인데도 깨끗하고 뷰가좋아요 일단 가성비측면에서 최고입니다!
37,여수,베니키아 호텔 여수,2021년 10월,"바다전망이 아주 좋았으며, 객실도 넓고, 조식도 가격대비 좋았습니다"
38,여수,베니키아 호텔 여수,2021년 10월,숙수크기가 많이 커요 특히욕실은 사이즈가 큽니다 기본 제공되는 칫솔 빗 치약등 제공되구요 제일좋은건 가격대비 조식이 좋았고 숙소뷰가 제일 좋았습니다. 오전이면 오전 오후면 오후 바다뷰는 전망이 아주좋아요!
40,여수,베니키아 호텔 여수,2021년 10월,오션뷰와 넓은 욕조와 화장실이 좋았어요!
41,여수,베니키아 호텔 여수,2021년 10월,편리한 위치와 넓은 면적이 강점
42,여수,베니키아 호텔 여수,2021년 10월,아침식사가 매우 맛있었습니다. 실내 공간과 욕실은 생각보다 더 넓게 느껴졌습니다. 객실에서의 전망도 훌륭합니다.
43,여수,베니키아 호텔 여수,2021년 10월,조식이 정성스럽고 깔끔해서 좋았습니다. 화장실과 샤워 시설도 나쁘지 않아서 편안한 여행이 되었습니다.
44,여수,베니키아 호텔 여수,2021년 10월,"조식 가지 수는 적었지만 찬이 깔끔하고 맛 , 직원들 친철 그리고 청결도 좋았습니다."
45,여수,베니키아 호텔 여수,2021년 10월,위치는 중심가아니고 주변에 딱히할게없지만 맛집은 많고요! 산책하기도 너무좋아요 그리고뷰가정말좋어요 한적하니 화장실과 방이 짱넓어요
46,여수,베니키아 호텔 여수,2021년 10월,깨끗하고 숙소 향!이 좋았고 룸이 다른 도심호텔보다 넓은? 느낌이었어요 다 좋았어요
47,여수,베니키아 호텔 여수,2021년 9월,바닷가 옆이라 조망도 좋았고 조식도 기대 이상이었습니다.
48,여수,베니키아 호텔 여수,2021년 9월,한식 식사 좋았음. 직원들 친절하고 전반적인 청결도와 구비 시설 만족
49,여수,베니키아 호텔 여수,2021년 9월,완전 불리는 아니지만 침대와 거실이 나뉘어져 있어 좋았어요 욕조와 샤워브스가 불리된점도 좋았습니나.
51,여수,베니키아 호텔 여수,2021년 9월,방 넓었고 조식 제공되서 좋았어요
52,여수,베니키아 호텔 여수,2021년 9월,여러가지 음식이 준비되 있어서 맛나게 먹었어요 ~~
53,여수,베니키아 호텔 여수,2021년 7월,침대 침구가 청결하고 편안하였다.
54,여수,베니키아 호텔 여수,2021년 8월,금연이어서 매우 좋았으며 조식이 아주 흡족했습니다~~직원들도 친절했구요~~여수에 오면 다시 방문할겁니다~!
55,여수,베니키아 호텔 여수,2021년 8월,바다 바로앞 숙소앞이고 조용해서 너무 좋았어요  직원분들이 친절하시고 먹거리가 근처에 많아서 좋았어요
56,여수,베니키아 호텔 여수,2021년 7월,직원들의 친절은 감동이었습니다
59,여수,베니키아 호텔 여수,2021년 8월,"비용대비 방 크기도 좋고 방음도 잘 되어서 좋았습니다. 2성급 호텔로 나와있지만, 이 정도 수준이면 3성급 이상의 서비스를 받은 기분입니다."
60,여수,베니키아 호텔 여수,2021년 8월,조식이 가능하였고 맛있는 편이었음.  직원들이 친절하였으며 객실이 매우 넓고 조용함. 가성비 좋은 가족단위 숙소로 추천함
61,여수,베니키아 호텔 여수,2021년 8월,넓은 방과 오션뷰 전망이 좋았다. 침대도 편안해서 잘 쉬고 갈 수 있었다. 자체 주차장이 좁으나 호텔 뒷편 공영주차장으로 안내해주고 주차장 비용까지 처리해줘서 만족스러웠다.
62,여수,베니키아 호텔 여수,2021년 7월,객실도 깨끗하고 침구도 너무 편안했습니다! 여름이라 너무 더운데 에어컨도 빵빵하니 만족이였고 무엇보다 아침을 먹을수 있어서 좋았어요!! 또한 객실이 너무 조용하니 편안했습니다!
65,여수,베니키아 호텔 여수,2021년 7월,바다뷰 좋구 깨끗해서 만족합니다
66,여수,베니키아 호텔 여수,2021년 7월,조식 메뉴가 다양하고 맛있었어요.
70,여수,베니키아 호텔 여수,2021년 6월,"호텔 방이 넓고 매우 깨끗해서 좋았어요. 뷰도 좋았고, 침대도 편안했습니다."
71,여수,베니키아 호텔 여수,2021년 7월,딱 비용만큼의 비지니스 호텔. ibis를 뛰어넘는 날이 오길.
72,여수,베니키아 호텔 여수,2021년 7월,위치.주차는 일찍가서 잘했습니다.
73,여수,베니키아 호텔 여수,2021년 7월,조용하고 .청결하고 .조식도 만족합니다.
74,여수,베니키아 호텔 여수,2021년 7월,숙소도 넓고 깨끗하고 아침 조식도 맛있고 숙소는 생각보다 좋았습니다 호텔 전체 크기는 크지 않았지만 내부 특히 화장실이 넓고 깨끗해서 하루 이용하기엔 가성비가 좋은 호텔입니다
79,여수,베니키아 호텔 여수,2021년 6월,조용하고 테라스에서 여유롭게 시간을 보낼 수 있어 좋았습니다
82,여수,베니키아 호텔 여수,2021년 5월,가격대비 방이 넓었고 오션뷰가 끝내줬습니다.  욕조도 딸려있어서 편안하게 쉬고왔습니다
84,여수,베니키아 호텔 여수,2021년 5월,"조식은 예상보다 깔끔하고 종류도 제법많아서 만족스러웠습니다. 직원들도 친절하고 좋은 여행이 되었습니다. 특히, 금액 대비 가성비와 여수 여행하기 좋은 위치여서 맘에 들었네요.."
85,여수,베니키아 호텔 여수,2021년 5월,가성비대비 시설ㆍ친절도ㆍ비치품등모든것이아주좋았습니다
87,여수,베니키아 호텔 여수,2021년 5월,직원분들 친절해서 좋은 인상 가지고 잘 쉬다 왔습니다. 아침 식사 무엇을 먹나 고민 안하고 조식으로 해결해서 좋았습니다.
88,여수,베니키아 호텔 여수,2021년 4월,친절하고 깨끗함 바다뷰 라서 아주 좋았음. 저녁식사후 호텔 앞 야경보면서 바다를 끼고 둘레길 좋았어요. 조식 뷔페 아주 좋았어요.
89,여수,베니키아 호텔 여수,2021년 5월,"모든 게 다 맘에 들었습니다. 가격, 뷰, 위치, 조식, 주차, 서비스, 청결 다 만족했구요. 추천합니다~ 보통 숙소 잠자리가 불편해서 잘 못 자는 편인데 이곳에서는 신기하리만치 잘 잤습니다. 바다가 보이는 뷰가 특히 좋았습니다~"
90,여수,베니키아 호텔 여수,2021년 5월,좋은뷰 여행하기 좋은 위치 친절한직원
91,여수,베니키아 호텔 여수,2021년 4월,"뷰가 좋습니다. 룸과 화장실이 넓습니다 호텔주위에 식당과 호프집,편의점등 늦은시간에 식사 해결하기가 좋습니다"
92,여수,베니키아 호텔 여수,2021년 3월,4인가족이 편안히 쉴 공간있는 호텔은 많지 않아요.
93,여수,베니키아 호텔 여수,2021년 4월,"조식이 너무 좋았어요. 맛있고, 메뉴도 적당하고."
94,여수,베니키아 호텔 여수,2021년 4월,"직원분들도 매우 친절했고, 청결 수준도 높았습니다. 또한 바다전망 방으로 예약해서 그런지 밤에 조용했고 방에서 바라보는 바깥의 풍경도 좋았습니다."
95,여수,베니키아 호텔 여수,2021년 4월,부폐로 종류가 아주 다양하진 않지만 한식과 양식을 두루 갖춤. 커피맛 좋아 2 잔 먹었음. 앞 바다가 잔잔한 수면으로 좋은 느낌을 줌.
96,여수,베니키아 호텔 여수,2021년 4월,위치적으로도 시설도 전부 좋았어요.
98,여수,베니키아 호텔 여수,2021년 3월,조식이 기대이상이라 좋았어요 객실도 크고ㅋ
99,여수,베니키아 호텔 여수,2021년 3월,문제가 생기자 빠른대처가 좋았어요
100,여수,베니키아 호텔 여수,2021년 2월,직원분들 친절하시고 조식 괜찮고 뷰 괜찮음 관광지와 가깝지않아서 조용히 바다보면서 쉬기 괜찮은호텔
101,여수,베니키아 호텔 여수,2021년 3월,"일단 객실이 넓고 깨끗하고, 어메니티도 여유있게 구비되어 있어요👍🏻👍🏻밖에 뷰도 너무 이쁘고 진짜 또 숙박할 의향 100% 💗💗"
102,여수,베니키아 호텔 여수,2021년 2월,가성비가 무척높은호텔이였어요 주차가다소간어려웠지만 뒷편에 공용주차장이 마련되어 있어서 좋았어요 다음다시금 찾고 싶은 호텔이였어요
103,여수,베니키아 호텔 여수,2021년 2월,"직원분들이 아주 친절했어요. 주변 여러 시설, 먹거리좋고 경치도 아주 좋아요. 조깅 산책 모두할 수 있고요"
104,여수,베니키아 호텔 여수,2021년 2월,1. TV가 잘 나왔다 2. 침대가 넓고 푹신했다
105,여수,베니키아 호텔 여수,2021년 2월,호텔내부도 청결하고 직원분들도 친절해서 좋았어요  조용하고 한적해서 쉬고 오기에 좋았어요.
106,여수,베니키아 호텔 여수,2021년 1월,여수 주요 관광지와는 좀 떨어져 있지만 직원분들도 친절하시고 조식도 괜찮았어요^^청소도 깨끗이 잘해주셨어요 샤워하는데 물도 잘 나오고 온천수 느낌나서 좋았어요
108,여수,베니키아 호텔 여수,2021년 1월,직원의 고객 응대가 매우친절하였슴
109,여수,베니키아 호텔 여수,2021년 1월,직원분들 모두 친절 조식부페 완전 맛있음..최고!
110,여수,베니키아 호텔 여수,2021년 1월,아침은 가짓수는 많지 않았지만 정갈하고 맛있습니다.
112,여수,베니키아 호텔 여수,2020년 12월,넓음. 화장실도넓음. 조식 가성비굿.
113,여수,베니키아 호텔 여수,2020년 12월,"군더더기없는 시설이라 맘에 들었고, 화장실 물내리는것이 맘에 들었습니다. 옆방 소음이 조금은 들리는데 방음이 아주 나쁘진않아요."
116,여수,베니키아 호텔 여수,2020년 11월,조식이 좋았고 청소를 깨끗하게 해 주어서 기분이 좋았음.
117,여수,베니키아 호텔 여수,2020년 11월,"조식서비스는 기대이상으로 좋았구요,"
118,여수,베니키아 호텔 여수,2020년 11월,직원들이 매우 친절했고 잠자리가 깨끗하고 편안했음. 모든 시설이 깔끔하고 주차장에서 바로 엘리베이터로 방으로 직접 올라갈 수있어 편리함
121,여수,베니키아 호텔 여수,2020년 11월,기대했던 조식은 아니지만 먹을만 합니다.  조용하고 바다조망은 시끄럽지 않고 좋습니다. 직원들도 친절하고 마루 바닥이라서 우리나라 사람들이 좋아할 만 합니다.
122,여수,베니키아 호텔 여수,2020년 11월,친절하고 편안히 쉬고 왔답니다
