region,hotel,date,review_positive,review_negative
yeosu,베니키아 호텔 여수,2020년 12월,호텔 청결하고 좋았어요. 침대 크고 잠자리도 편했습니다. 바닥난방까지 되어서 따뜻했고 방도 크고 샤워실도 넓고 깨끗했어요. 조식부페도 맛있었구요 스태프들도 모두 친절하고 가족들도 매우 만족했습니다. 주변에 식당들과 편의점들이 있어서 편리했습니다.,주차장 올라가는 길이 1차선이라 내려오는 차와 올라가는 차가 있으면 한대는 기다려야 해요. 서로 뒤엉키면 곤란하겠더라구요. 그래도 호텔 바로 뒤편에 공영주차장이 있어서 거기에 세우고 체크아웃할 때 영수증 프론트에 제시하면 정산 해 주셔서 문제 없었어요.
yeosu,베니키아 호텔 여수,2022년 2월,깨끗하고 편안했습니다.,
yeosu,베니키아 호텔 여수,2022년 2월,바다전망 넘 좋았어요~,바닥마루 나무틈이 벌어져 걸어다닐때 살짝 불편했어요 빠른 정비가 필요할것 같아요~^^
yeosu,베니키아 호텔 여수,2022년 2월,아침식사는 매우 만족했습니다,주차장 입구가 좁아서 좀 아쉽지만 뒤에 공용주차장이 있어서 괜찮을 듯 합니다
yeosu,베니키아 호텔 여수,2022년 1월,호텔이 작은 건물 하나지만 깨끗햇습니다,방안에서 하는 소리가 복도에 적날하게 들리더라구요;
yeosu,베니키아 호텔 여수,2022년 1월,"친절하고, 객실정비도 잘되어 너무 좋았습니다. 오션뷰도 저렴히 이용할수있어 만족스러웠습니다.","주차장과 조식이 아쉬웠지만, 그래도 불편한 정도는 아니었습니다."
yeosu,베니키아 호텔 여수,2022년 1월,방이 넓고 쾌적해서 좋고 청결한게 좋았어요. 특히 조식이 잘 나와서 너무 좋았어요,
yeosu,베니키아 호텔 여수,2022년 1월,"호텔 직원들이 아주 친절했고, 조식도 맛있었습니다. 마치 일본의 비지니스호텔 온 느낌^^",화장실이 침실쪽으로 보이는게 조금 ㅋㅋㅋ 그래도 나름 좋았습니다.
yeosu,베니키아 호텔 여수,2022년 1월,직원친절. 위치,부대시설
yeosu,베니키아 호텔 여수,2022년 1월,전망이좋고 객실이넓어좋고 친절해서 좋음,춥고건조함
yeosu,베니키아 호텔 여수,2022년 1월,욕실과 전체적인 뷰,침구가 조금 낡았다는 것
yeosu,베니키아 호텔 여수,2022년 1월,"주변에 먹거리, 볼거리, 산책로가 좋아서 몇 일 머물렀으면 하는 아쉬움이 있었네요.",식사 예약이 늦어 식사를 할 수 없었던 것이 좀 아쉽네요. 평판이 좋다고 들었었는데...
yeosu,베니키아 호텔 여수,2022년 1월,편안한 침대와 따뜻한 온돌이 넘 맘에 들었어요,
yeosu,베니키아 호텔 여수,2022년 1월,맛있어요,주차장 출입구가 좀 불편했어요
