region,hotel_id,hotel_name,address,hotel_link,hotel_img_link,positive_keywords,negative_keywords
서울,1,콘래드 서울,"서울, 영등포구 국제금융로 10",https://www.booking.com/hotel/kr/conrad-seoul.ko.html?aid=304142;label=gen173nr-1DCAEoggI46AdIM1gEaH2IAQGYARe4ARfIAQzYAQPoAQGIAgGoAgO4AvjnhpEGwAIB0gIkOWMzN2Q4OWQtNWE0ZS00OWQyLTgwZDEtN2Y3MzVjZmIyZGNi2AIE4AIB;sid=c07843c4ec1b2207a50b02e715c87648;dest_id=416641;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=2;hpos=2;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1646445353;srpvid=e1020d94c9fe0188;type=total;ucfs=1&#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/12281600.jpg?k=7115f5ad78217d3dbd1083f3095237f99dfc1e87f81521dbeeec824a25a4de8b&o=&hp=1,고급스러움|접근성 좋음|조식 맛있음|친절함,너무 느린|유료인 점|더러운|불친절한|가성비별로
서울,2,시그니엘,"서울, 송파구 올림픽로 300",https://www.booking.com/hotel/kr/signiel-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/107527439.jpg?k=62ba5d5f1fcc3e8d283bbfec7dede66488f1edcf419f2aef17bdcacc81f56513&o=&hp=1,서비스가 좋음|아쉬웠던 점이 없음,흡연구역|오래걸리는|비싸다|아쉽다|복잡함
서울,3,그랜드 하얏트 서울,"서울, 용산구 소월로 322",https://www.booking.com/hotel/kr/grand-hyatt-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/277872738.jpg?k=d1ff3d221db27da229a305bc2a544c3722fd5dc03831635d67b94e68bbc99067&o=&hp=1,잘 챙겨주셔서|위치가 좋음,건조한|시끄러운|방이 작다|맛이 없는
서울,4,소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,"서울, 209, Jamsil-ro, Songpa-gu",https://www.booking.com/hotel/kr/sofitel-ambassador-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/331600864.jpg?k=41e26e7863d4d46398f897e32107fd8bf047d5584a73265e64f381ca5e60f480&o=&hp=1,신축|조식 맛있음,가성비 나쁨|번잡스러운|메뉴 아쉬움
서울,5,JW 메리어트 호텔 서울,"서울, 서초구 신반포로 176",https://www.booking.com/hotel/kr/jw-marriott-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/164398650.jpg?k=5a34e7fd6073a463f1e57e3cb9f05e05f8bb35e986c81e8a993bd2e73b8e6bdf&o=&hp=1,넓은 객실|위치 좋음|친절,안했을듯
서울,6,그랜드 인터컨티넨탈 서울 파르나스,"서울, 강남구 테헤란로 521",https://www.booking.com/hotel/kr/grand-intercontinental-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/330992107.jpg?k=ba7f37a1833e567bd737169edbdc40ff579256fd1c9cf20693bfd5b80cfb9a7f&o=&hp=1,,
서울,7,서울 신라호텔,"서울, 중구 동호로 249",https://www.booking.com/hotel/kr/the-shilla.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/29442405.jpg?k=42b2e29b75e5de2842d14faae7f257bb64cbd92b84ec815e76c1287b1edf91e8&o=&hp=1,뷰가 좋음|친절한|감성|넓은 객실,주차비|춥다|아쉬움
서울,8,포시즌스 호텔 서울,"서울, 종로구 새문안로 97",https://www.booking.com/hotel/kr/four-seasons-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/64401925.jpg?k=94156e17fc29091f92ba01945e68c1c1c7c0e0c2aef0a6e7e481a7899b757114&o=&hp=1,조식|청결해서|깨끗해서|편안함|내부시설 좋음,주차장|조금 어려웠음|표시가 눈에 잘 띄지 않음
서울,9,안다즈 서울 강남,"서울, 강남구 논현로 854",https://www.booking.com/hotel/kr/andaz-seoul-gangnam.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/267596965.jpg?k=af21d72d8f9d66e1be2b7eda6c2bec7a68544b991368617ef6e92e785f45cd1a&o=&hp=1,최고|교통 편리|주변 좋은식당 많고|청결하고,공간|가격|복잡함|불편한 침구류
서울,10,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔","서울, 강남구 테헤란로 231",https://www.booking.com/hotel/kr/josun-palace-a-luxury-collection-seoul-gangnam.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/297132204.jpg?k=754fedf7fd76739f91fbfcc75a4287bd32ceefd1bf5380b6bb595c2611b77d35&o=&hp=1,음식|청결하고|편안함,방음 안됨|욕조 없음|약한 수압|샤워실 수압
