,index,date,region,hotel,review_positive
0,0,2021-09-01,부산,시그니엘 부산,직원분들이 다들 친절하셨어요
1,1,2022-01-01,부산,시그니엘 부산,"아침뷔페 및 바다가 보이는 수영장, 사우나 시설 모두 탑티어 입니다.  비용이 부담되기는 하는데 평일로 예약해서 다시 가고 싶네여 ~!!!"
2,2,2021-12-01,부산,시그니엘 부산,위치 서비스 전부 만족해요
3,3,2022-01-01,부산,시그니엘 부산,조식 만족스러웠습니다. 객실내 조명 불량으로 불이 꺼지지않는 상황에서 새벽에 문의를 했음에도 직원의 대응이 굉장히 좋았습니다.
4,4,2021-12-01,부산,시그니엘 부산,깔끔하고 서비스 다 너무좋았어요
5,5,2022-01-01,부산,시그니엘 부산,"해운대해수욕장 바로 앞에 위치해있어 바로 나가 산책할 수 있을 정도로 가까웠습니다. 직원이 처음부터 끝까지 친절하게 안내하고 챙겨주셨습니다. 전망이 끝내줍니다. 베게가 기본적으로 두개가 제공되어, 자신에게 맞는 베게를 고를 수 있도록 해주셨습니다. 살롱드 시그니엘 라운지 무제한 이용 가능합니다. 사우나도 이용 했는데, 욕조 바로옆에 바다 전망이 있어서 황홀했습니다."
6,6,2021-12-01,부산,시그니엘 부산,크리스마스 기념으로 다녀왔는데 정말 시설도 시설이지만 직원분들의 세세한 배려와 친절함에 많이 감동하고 갑니다.
7,7,2021-10-01,부산,시그니엘 부산,다 좋았어요 최고의 서비스
8,8,2021-12-01,부산,시그니엘 부산,직원들이 전체적으로 친절함. 필요한 것 요구사항 있으면 피드백이 빠름 . 뭔가 길게 기다린 적 없음. 오션뷰도 만족.
9,9,2021-12-01,부산,시그니엘 부산,위치도 좋고 깔끔한데다가 직원들이 매우 친절했습니다 조식도 잘 나왔고요.  바다를 마주보는 침대의 위치도 인상적이었습니다
10,10,2021-12-01,부산,시그니엘 부산,"직원들이 모두 친절하게 해주셨고 짐을 옮겨주는 직원분이 있었는데 너무너무나도 친절하고 자세하게 알려주셔서 너무 고마웠어요. 이름을 알았더라면 더 좋았을텐데 못물어보고 후기를 남깁니다. 침실, 화장실, 식당, 라운지 전부 매우 만족이었고 가는 곳 마다 직원분들이 친절하게 해주셔서 또 꼭 다시 한번 가보고싶습니다."
11,11,2021-11-01,부산,시그니엘 부산,아침도 맛있고 그냥 편안하고 너무 좋았습니다. 일상으로 돌아와서도 계속 생각이 날 정도로 좋은 시간을 보낼 수 있었습니다. 최고에요 시그니엘 부산~
12,12,2021-12-01,부산,시그니엘 부산,모든 서비스와 시설 무엇하나 실망한게 없습니다!
13,13,2021-12-01,부산,시그니엘 부산,"서비스 , 서비스, 서비스, 서비스......,수영장, 침구&침대, 라운지 ♡"
