,index,date,region,hotel,review_positive
8629,46242,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,단점 한가지만 빼고 모든게 다 좋았다
8630,46243,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,침대가 편안했고 사우나가 좋았어요  교통 또한 대관령IC에서 가까워서 편리했습니다
8631,46244,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,객실 청소가 제대로 안되고 먼지가 그대로 있으며 거미줄도 눈에 많이 보였습니다. 그리고.욕실에 곰팡이가 제거되지 않고 발코니에 벌레 사체들이 그대로 있습니다.
8632,46245,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,깨끗하고 인테리어가 좋습니다. 확실히 호텔급이네요.  복층구조라 아이들도 좋아합니다.
8633,46246,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,"부대시설 중 사계절 썰매장이 매우 만족스러웠습니다. 썰매장 관리자님이 매우 친절하셨고, 아이들 잘 놀 수 있게 여러모로 신경써주셔서 좋았어요. 그리고 양떼목장과 산책로도 참 좋았습니다."
8634,46247,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,1.층고가높고 복층구조라 답답하지않고 넓은 느낌  2.레인지와 간이주방이 있어 편리하고 실용적 3.걸어서도 갈수있는 바로 뒷편 순수양떼목장은 아이들도 좋아하고 어른들도 산책하기 아주좋은 곳 4.거의 모든 시설이 개동반이용가능
8635,46248,2020-08-01,강원도,평창 라마다 호텔&스위트 바이윈덤,새로지어서 깨끗한 점
8636,46249,2020-06-01,강원도,평창 라마다 호텔&스위트 바이윈덤,"가성비로 선택한 숙소였는데 룸컨디션 안좋아서 1번 재배정 받았어요. 방으로 갔더니 그 통로의 객실이 한 창 청소중이였고, 문밖에 좀 서있다 들어갔는데, 방역한다는건 형식상이었구나..여기서 일단 불안 확 느꼈어요..그리고 창문에 걸쇠가 없어서 문의했는데 밖에 나갔다 못 들어온 사건이 있어서 걸쇠가 없다는데 그래도 혼자 자는 여자로서는 좀 불안했구요. 침구류에 머리카락도 있고. 아무리 가성비 좋아도 재방문 의사 없어요."
8637,46250,2020-06-01,강원도,평창 라마다 호텔&스위트 바이윈덤,주변환경이 조용해서 좋다
8638,46251,2020-06-01,강원도,평창 라마다 호텔&스위트 바이윈덤,화장실과객실과 바닥 모든곳 청소해놓은지오래된듯 먼지가 구석구석 불쾌했음
8639,46252,2020-06-01,강원도,평창 라마다 호텔&스위트 바이윈덤,하루 10만원 초반 가격이면 괜찮지만 그 이상 비용을 지불하기엔 억울함.
8640,46253,2020-06-01,강원도,평창 라마다 호텔&스위트 바이윈덤,안반데기랑 가까워서 좋았어요 :)
8641,46254,2020-05-01,강원도,평창 라마다 호텔&스위트 바이윈덤,복층 구조로 다른 호텔에 비해서 훨씬 넓고 답답함이 없어서 좋았어요.
8642,46255,2020-03-01,강원도,평창 라마다 호텔&스위트 바이윈덤,어린 아이가 있다? 바로 가세요. 내부에도 즐길거리가 많습니다. 직원들이 너무 친절하고요..
8643,46256,2020-05-01,강원도,평창 라마다 호텔&스위트 바이윈덤,"아이가 만족할만큼 룸이 맘에들어서 며칠더있고싶다고하네요 ㅋㅋ, 재방문의사 아주있음!!"
8644,46257,2020-04-01,강원도,평창 라마다 호텔&스위트 바이윈덤,복층임에도 온도 차가 없었습니다.
8645,46258,2020-03-01,강원도,평창 라마다 호텔&스위트 바이윈덤,"규모에 비해 싸고 넓고 깔끔하고 친절합니다. 방도 복층으로 넓어서 공간활용이 좋았어요. 근처 시내랑 멀지 않아서 이동 및 이용하기에도 편리했고, 카페 편의점 등 편의시설이 있어서 좋았어요. 특히, 카페 커피 맛이 좋았습니다."
8646,46259,2020-03-01,강원도,평창 라마다 호텔&스위트 바이윈덤,대관령 양떼목장과 근처 맛집을 다니기에  좋은 위치에 있는 깨끗한 숙소 입니다. 복층 구조라 6살 아이가 너무 좋아했어요~ 경사가 있어서 더 어린 아이면 조금 위험할수도 있을것같아요~
8647,47579,2022-01-01,강원도,호텔 인터불고 원주,조용함
8648,47580,2021-10-01,강원도,호텔 인터불고 원주,배점 또는 편의점이 운용됐으면 ~~~
8649,47581,2021-09-01,강원도,호텔 인터불고 원주,위치가 시내에서 가까워 나와 같이 택시를 이용하는 여행자들에게 편리하다. 창문에서 바라본 일출과 골프장 뷰가 상쾌했다. 방이 커서 시원했다.
8650,47582,2021-08-01,강원도,호텔 인터불고 원주,아침 식사 훌륭했어요. 정성들인 음식은 어디가도 표가 난답니다.
8651,47583,2021-06-01,강원도,호텔 인터불고 원주,조용하고 쉬기 좋았어요
8652,47584,2021-05-01,강원도,호텔 인터불고 원주,인터불고 cc 라운드 후 바로 지친몸을 이끌고 코앞에서 숙박할수있어서 좋았고 특히 직원들께서 친절하셔서 감사했습니다
8653,47585,2021-04-01,강원도,호텔 인터불고 원주,무난함 위치도 좋음
8654,47586,2021-04-01,강원도,호텔 인터불고 원주,혁신도시 내의 호텔로 특이사항 없음.
8655,47587,2021-04-01,강원도,호텔 인터불고 원주,홀로 근무하시는 카운터의 직원분이 그래도 나름 환영의 느낌을 주심.
8656,47588,2021-04-01,강원도,호텔 인터불고 원주,시내와 가까움
8657,47589,2021-03-01,강원도,호텔 인터불고 원주,가성비는 너무 훌륭하죠.다시와도 좋은곳.
8658,47590,2021-03-01,강원도,호텔 인터불고 원주,편의점 영업시간이 너무 짧음.
8659,47591,2020-08-01,강원도,호텔 인터불고 원주,넓고 쾌적
8660,47592,2020-11-01,강원도,호텔 인터불고 원주,레이트체크아웃을 원활히 지원해주어 감사했으며 프런트 직원들의 친절도가 전반적으로 훌륭했습니다 호텔이 노후되긴 했으나 관리가 잘 되어있다고 느꼈습니다
