,index,date,region,hotel,review_positive
25887,105000,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"어머니의 생신 기념으로 호캉스를 한 셈인데 어머니가 대단히 좋아하셔서 매우 좋은 선물이 되었습니다. 전체적으로 모든 것이 고급스럽고 청결하여 숙박이 쾌적하였고, 직원들도 친절하고, 룸서비스도 참 좋았습니다. 아침에 호텔 바로 앞의 남산공원을 어머니 모시고 산책했는데 정말 좋았습니다. 코로나 때문에 여행도, 잔치도 할 수 없어 서운했던 마음에 큰 위로가 되었습니다."
25888,105001,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"체크인 도와주신 단발 직원분 너무 친절하게 응대해주셔서 기억에 남습니다^^ 위치, 뷰, 직원분들의 서비스 모두 좋았습니다. 역시 하얏트호텔입니다."
25889,105002,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,조식 맛있다
25890,105003,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,직원분들이 친절하게 안내해주셨고 어메니티 향기가 좋아서 고급호텔에 있는 느낌이었습니다!
25891,105004,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"한강전망, 수영장과 휴식공간이 아주 좋습니다. 라운지 라이브음악도 좋구요."
25892,105005,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,여름을 만끽하기에 최고의 장소라고 생각합니다 생일자가 있어서 배려해주신 서비스 사항들까지 세심한 서비스가 제공되었습니다
25893,105006,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,한강뷰가 너무너무 예쁘고 힐링이 됐어요♥ 수영장도 크고 뷰도 예쁘고 좋았습니다!
25894,105007,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,아침식사 맛있고 위치도 전망도 아주 좋아요
25895,105008,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,가족들과 함께한 첫 호캉스였습니다.  비록 코로나로인해 부대시설을 맘껏 누리진 못했지만  직원분들에 친절한 응대와 서비스로 즐거운 휴가를 보냈습니다.  숙소 내 바디제품 향이 유독 생각 납니다.
25896,105009,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,조식은 다른호텔 비해 맛있어고  창가자리쪽이 넘좋았어요
25897,105010,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,그랜드 클럽에서 조용한 식사와 직원들의 친절함이 좋았음. 수영장 등 호텔에서 즐길 수 있는 부대시설이 참 좋았음.
25898,105011,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,조식과 수영장이 좋았고 전망 업그레이드 되어 한강 전망이라 좋았습니다.  직원분들 모두 친절했고 테라스 석식 평일 (성인 20%) 할인 되는것도 좋았습니다.
25899,105012,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"흡연공간, 정원"
25900,105013,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,야외수영장이 너무 좋아요 근처에 맛집도 많구요
25901,105014,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,식사가 맛있음
25902,105015,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,네  메뉴도 다양하고 맛도 아주좋음
25903,105016,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,문의드렸던 요청사항에 잘 응해주셨습니다:)
25904,105017,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,수영장 이용 목적 숙박이었어서 수영장 시설 등 관련 내부시설 만족도가 좋았음.
25905,105018,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,뷰가 좋았어요!
25906,105019,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,조식의질도 좋았고 모든직원들이 친절해소 좋았습니다.
25907,105020,2021-08-01,서울,그랜드 인터컨티넨탈 서울 파르나스,직원분께서 정말 친절하게 체크인 하는데 도와주셨고 예약할때 결혼 500일 기념이라고 적었더니 직원분께서 한강뷰로 업그레이드도 해주시고 정말 기뻐해주셔서 저희가 행복한 시간 보내고 왔습니다^^ 감사합니다
25908,105021,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,서비스와 직원들의 친절함 무엇보다 뷰가 너무 좋음
25909,105022,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,아침식사 좋았습니다.
25910,105023,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,수영장이용이 좋았습니다
25911,105024,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"멋진 View와 깔끔한 시설, 친절한 직원"
25912,105025,2021-06-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"조식 먹는 곳이 너무 정신없고, 메뉴가 제대로 채워지지 않음. 10시까지라고 하면 10시까지는 조용했으면 좋겠어요. 거의 1시간 전부터 마감하는 분위기인건 별로인것 같아요."
25913,105026,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,조식이 휼륭했어요~~♡ 태라스에서 뷰를 즐기며 퀄리티 높은 아침식사 그리고 직원응대가 친절했어요.
25914,105027,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"시설은 당연히 좋았고, 남산뷰가 정말 멋졌습니다."
25915,105028,2021-07-01,서울,그랜드 인터컨티넨탈 서울 파르나스,"침대, 이불, 뷰"
25916,105029,2021-06-01,서울,그랜드 인터컨티넨탈 서울 파르나스,청결하고 너무 좋았어요! 직원분들도 너무 친절하십니다 직원분들 덕분에라도 다시 방문하고 싶어요
25917,105030,2021-06-01,서울,그랜드 인터컨티넨탈 서울 파르나스,직원분들 친절하시고 편안하게 해주셨습니다 유쾌한 농담도 하시고 머무는동안 편안한 안내와 서비스를 받았습니다
